PM_ID,Title,Abstract,Journal,Year,PMC_ID,DOI,Classification,Community type,Substrate,Product,Organisms,E. coli role,Clostridium role
35730952,Engineering <i>Pseudomonas putida</i> To Produce Rhamnolipid Biosurfactants for Promoting Phenanthrene Biodegradation by a Two-Species Microbial Consortium.,"Polycyclic aromatic hydrocarbons (PAHs) are a group of organic contaminants that pose a significant environmental hazard. Phenanthrene is one of the model compounds for the study of biodegradation of PAHs. However, the biodegradation of phenanthrene is often limited by its low water solubility and dissolution rate. To overcome this limitation, we engineered a strain of Pseudomonas putida to produce rhamnolipid biosurfactants and thereby promote phenanthrene biodegradation by an engineered strain of Escherichia coli constructed previously in our lab. The E. coli-P. putida two-species consortium exhibited a synergistic effect of these two distinct organisms in degrading phenanthrene, resulting in an increase from 61.15 to 73.86% of the degradation ratio of 100 mg/L phenanthrene within 7 days. After additional optimization of the degradation conditions, the phenanthrene degradation ratio was improved to 85.73%. <b>IMPORTANCE</b> Polycyclic aromatic hydrocarbons (PAHs), which are recalcitrant, carcinogenic, and tend to bioaccumulate, are widespread and persistent environmental pollutants. Based on these characteristics, the U.S. Environmental Protection Agency has listed PAHs as priority contaminants. Although there are many methods to treat PAH pollution, these methods are mostly limited by the poor water solubility of PAHs, which is especially true for the biodegradation process. Recent evidence of PAH-contaminated sites suffering from increasingly severe impact has emerged. As a result, the need to degrade PAHs is becoming urgent. The significance of our study lies in the development of nonpathogenic strains of biosurfactant-producing Pseudomonas aeruginosa for promoting the degradation of phenanthrene by engineered Escherichia coli.",Microbiology spectrum,2022,9431653,10.1128/spectrum.00910-22,1,Defined,"Phenanthrene, Glycerol",Biosurfactants,"Pseudomonas putida, Escherichia coli",,
36270363,Model-aided targeted volatile fatty acid production from food waste using a defined co-culture microbial community.,"The production of volatile fatty acids (VFA) is gaining momentum due to their central role in the emerging carboxylate platform. Particularly, the production of the longest VFA (from butyrate to caproate) is desired due to their increased economic value and easier downstream processing. While the use of undefined microbial cultures is usually preferred with organic waste streams, the use of defined microbial co-culture processes could tackle some of their drawbacks such as poor control over the process outcome, which often leads to low selectivity for the desired products. However, the extensive experimentation needed to design a co-culture system hinders the use of this technology. In this work, a workflow based on the combined use of mathematical models and wet experimentation is proposed to accelerate the design of novel bioprocesses. In particular, a co-culture consisting of Pediococcus pentosaceus and Megaphaera cerevisiae is used to target the production of high-value odd- and even‑carbon VFA. An unstructured kinetic model was developed, calibrated and used to design experiments with the goal of increasing the selectivity for the desired VFA, which were experimentally validated. In the case of even‑carbon VFA, the experimental validation showed an increase of 38 % in caproate yield and, in the case of enhanced odd‑carbon VFA experiments, the yield of butyrate and caproate diminished by 62 % and 94 %, respectively, while propionate became one of the main end products and valerate yield value increased from 0.007 to 0.085 g<sub>valearte</sub> per g<sub>consumed sugar.</sub> The workflow followed in this work proved to be a sound tool for bioprocess design due to its capacity to explore and design new experiments in silico in a fast way and ability to quickly adapt to new scenarios.",The Science of the total environment,2023,None,10.1016/j.scitotenv.2022.159521,1,Defined,Food waste,VFA,"Pediococcus pentosaceus, Megaphaera cerevisiae",,
36243085,Mutualistic microbial community of Bacillus amyloliquefaciens and recombinant Yarrowia lipolytica co-produced lipopeptides and fatty acids from food waste.,"Bioconversion is an important method for transforming food waste (FW) into high value-added products, rendering it harmless, and recycling resources. An artificial microbial consortium (AMC) was constructed to produce FW-based lipopeptides in order to investigate the strategy of FW bioconversion into value-added products. Exogenous fatty acids as a precursor significantly improved the lipopeptide production of Bacillus amyloliquefaciens HM618. To enhance fatty acid synthesis and efflux in AMC, the recombinant Yarrowia lipolytica YL21 (strain YL21) was constructed by screening 12 target genes related to fatty acids to replace exogenous fatty acids in order to improve lipopeptide production. The levels of fengycin, surfactin, and iturin A in the AMC of strains HM618 and YL21 reached 76.19, 192.80, and 31.32 mg L<sup>-1</sup>, increasing 7.24-, 12.13-, and 3.23-fold compared to the results from the pure culture of strain HM618 in flask with Landy medium, respectively. Furthermore, free fatty acids were almost undetectable in the co-culture of strains HM618 and YL21, although its level was around 1.25 g L<sup>-1</sup> in the pure culture of strain YL21 with Landy medium. Interestingly, 470.24 mg L<sup>-1</sup> of lipopeptides and 18.11 g L<sup>-1</sup> of fatty acids were co-produced in this AMC in a bioreactor with FW medium. To our knowledge, it is the first report of FW biotransformation into co-produce of lipopeptides and fatty acids in the AMC of B. amyloliquefaciens and Y. lipolytica. These results provide new insights into the biotransformation potential of FW for value-added co-products by AMC.",Chemosphere,2023,None,10.1016/j.chemosphere.2022.136864,1,Defined,Food waste,"Lipopeptides, Fatty acid","Bacillus amyloliquefaciens, Yarrowia lipolytica",,
29486411,Engineering of artificial microbial consortia of Ralstonia eutropha and Bacillus subtilis for poly(3-hydroxybutyrate-co-3-hydroxyvalerate) copolymer production from sugarcane sugar without precursor feeding.,"Ralstonia eutropha is a well-known microbe reported for polyhydroxyalkonate (PHA) production, and unable to utilize sucrose as carbon source. Two strains, Ralstonia eutropha H16 and Ralstonia eutropha 5119 were co-cultured with sucrose hydrolyzing microbes (Bacillus subtilis and Bacillus amyloliquefaciens) for PHA production. Co-culture of B. subtilis:R. eutropha 5119 (BS:RE5) resulted in best PHA production (45% w/w dcw). Optimization of the PHA production process components through response surface resulted in sucrose: NH<sub>4</sub>Cl:B. subtilis: R. eutropha (3.0:0.17:0.10:0.190). Along with the hydrolysis of sucrose, B. subtilis also ferments sugars into organic acid (propionic acid), which acts as a precursor for HV monomer unit. Microbial consortia of BS:RE5 when cultured in optimized media led to the production of poly(3-hydroxybutyrate-co-3-hydroxyvalerate) (P(3HB-co-3HV) with 66% w/w of dcw having 16 mol% HV fraction. This co-culture strategy overcomes the need for metabolic engineering of R. eutropha for sucrose utilization, and addition of precursor for copolymer production.",Bioresource technology,2018,None,10.1016/j.biortech.2018.02.056,1,Defined,Sucrose,Polyhydroxyalkanoate,"Ralstonia eutropha, Bacillus subtilis",,
31295575,Bacterial cellulose/hyaluronic acid nanocomposites production through co-culturing Gluconacetobacter hansenii and Lactococcus lactis in a two-vessel circulating system.,"Bacterial cellulose (BC) based composites have been widely studied in the biomedical field. In this study, the BC/HA (hyaluronic acid) nanocomposites in the pellicle form were directly produced through co-culturing Gluconacetobacter hansenii ATCC 23769 and Lactococcus lactis APJ3 in a novel two-vessel circulating system. The concentration of HA secreted by L. lactis was controlled through adjusting the constant feed rate of glucose. The dynamic growth of the strains revealed that L. lactis was mainly growing within 48 h while G. hansenii started to grow after 48 h. XRD analysis indicated the presence of HA would not affect the crystallinity of cellulose but increase the crystalline sizes. The FESEM images showed that more ribbons within the width of 20-40 nm and larger ribbons between 180 and 360 nm were observed in BC/HA. The strain at break and the water holding capacity of BC/HA increased with the concentration of HA.",Bioresource technology,2019,None,10.1016/j.biortech.2019.121715,1,Defined,Glucose,"Bacterial cellulose, Hyaluronic acid nanocomposite","Gluconacetobacter hansenii, Lactococcus lactis",,
33992112,Enhanced cercosporin production by co-culturing Cercospora sp. JNU001 with leaf-spot-disease-related endophytic bacteria.,"Owing to the excellent properties of photosensitization, cercosporin, one of naturally occurring perylenequinonoid pigments, has been widely used in photodynamic therapy, or as an antimicrobial agent and an organophotocatalyst. However, because of low efficiency of total chemical synthesis and low yield of current microbial fermentation, the limited production restricts its broad applications. Thus, the strategies to improve the production of cercosporin were highly desired. Besides traditional optimization methods, here we screened leaf-spot-disease-related endophytic bacteria to co-culture with our previous identified Cercospora sp. JNU001 to increase cercosporin production.",Microbial cell factories,2021,8126151,10.1186/s12934-021-01587-2,1,Defined,Glucose,Cercosporin,"Cercospora sp, Bacillus velezensis, Lysinibacillus sp",,
29314110,Polyhydroxyalkanoates (PHA) production in bacterial co-culture using glucose and volatile fatty acids as carbon source.,"Mixed bacterial cultures are increasingly being used in the production of polyhydroxyalkanoates (PHAs), as they have the potential to be more cost effective than axenic pure cultures. The purpose of this study was to use pure cultures in combination to identify their potential of PHA production. In this work we used volatile fatty acids (VFAs) and glucose as carbon source to check the ability of selected strains ST2 (Pseudomonas sp.) and CS8 (Bacillus sp.) as co-culture. The production of PHA in pure co-cultures of bacteria was therefore investigated in order to understand the effect of combining cultures on PHA production parameters and material properties. Bacteria could use the feed in better way when mixed as compared to individual strain. In undertaking this analysis, model volatile fatty acids (i.e., acetic and propionic acids) were used alone and in combination with glucose as feedstock. The production by Pseudomonas was 34% while 24% by Bacillus. However when combined and mixed feed (glucose + propionic acid) was used, 35% PHA produced. Overall, it was found that the ability of the pure cultures to produce PHA was low but when selected cultures were mixed, their ability to produce PHA was enhanced. Copolymers were obtained instead of homopolymers with improved properties. This suggests that industrial wastewater rich in volatile fatty acids and carbohydrates can be a good carbon source for PHA production with variable properties.",Journal of basic microbiology,2018,None,10.1002/jobm.201700276,1,Defined,"Glucose, VFA_s",Polyhydroxyalkanoate,"Pseudomonas sp, Bacillus sp",,
28039824,Design and composition of synthetic fungal-bacterial microbial consortia that improve lignocellulolytic enzyme activity.,"Microbial interactions are important for metabolism as they can improve or reduce metabolic efficiency. To improve lignocellulolytic enzyme activity, a series of synergistic microbial consortia of increasing diversity and complexity were devised using fungal strains, including Trichoderma reesei, Penicillium decumbens, Aspergillus tubingensis, and Aspergillus niger. However, when a screened microbial community with cellulolytic capacity was added to the consortia to increase the number of strains, it engendered more microbial interactions with the above strains and universally improved the β-glucosidase activity of the consortia. Analysis of the microbial community structure revealed that the bacteria in the consortia are more important for lignocellulolytic enzyme activity than the fungi. One fungal and 16 bacterial genera in the consortia may interact with T. reesei and are potential members of a devised synergistic microbial consortium. Such devised microbial consortia may potentially be applied to effectively and economically degrade lignocellulose.",Bioresource technology,2017,None,10.1016/j.biortech.2016.12.058,1,Defined,Lignocellulose,Glucose_p,"Trichoderma reesei, Penicillium decumbens, Aspergillus tubingensis, Aspergillus niger",,
35184225,Effects of pullulan additive and co-culture of Aureobasidium pullulans on bacterial cellulose produced by Komagataeibacter hansenii.,"Bacterial cellulose (BC) exhibits a unique combination of porosity, tensile strength, reticulated crystal structure and biocompatibility useful for many applications in the food, biomedical and other industries. Polysaccharide addition has been shown to improve the production and the mechanical properties of BC nanocomposites. This study examined the effect of pullulan on BC fermentation as well as the co-culturing of the BC producer with Aureobasidium pullulans, a fungal strain that produces pullulan as an exopolysaccharide. Results showed that a 1% pullulan addition improved Young's modulus of BC pellicles for sixfold. Addition of pullulan at 1.5% and 2% levels could increase the BC production from 0.447 to 0.814 and 1.997 g/L, respectively. The co-culture fermentation demonstrated a mixed effect on the aggregation and bundling of BC while resulting in a significant improvement in mechanical properties. The study provided a polysaccharide additive and a novel fermentation method to produce BC with improved properties.",Bioprocess and biosystems engineering,2022,None,10.1007/s00449-021-02680-x,1,Defined,Glucose,Bacterial cellulose,"Aureobasidium pullulans, Komagataeibacter hansenii",,
31687553,Crude extracts of metabolites from co-cultures of lactic acid bacteria are highly antagonists of <i>Listeria monocytogenes</i>.,"<i>Listeria monocytogenes</i> is a pathogen difficult to control, due to its resistance to extreme conditions. The antimicrobial activity of a mixture of metabolites produced by lactic acid bacteria was evaluated against <i>L. monocytogenes</i>. Bacterial combined cultures in 1:1 ratio of <i>Lactobacillus plantarum</i> and <i>Weissella cibaria</i> (treatment LP + WC) and mixtures in ratio 1:1:1 of <i>Lactobacillus brevis, L. plantarum,</i> and <i>W. cibaria</i>, (treatment (LB + LP + WC) were grown by discontinuous fermentation, at 32 °C for 48 h. At 1, 2, 6, 12, 24 and 48 h of fermentation, samples were taken, the biomass was separated from the metabolites, and the antimicrobial activity of the metabolites was measured <i>in vitro</i> against <i>L. monocytogenes</i>. For comparison, experimental data published in the literature corresponding to monocultures of <i>L. brevis</i> (L.B), <i>L. plantarum</i> (LP) and <i>W. cibaria</i> (WC) were used. The antimicrobial activity was measured by a surface diffusion technique using absorbent paper discs impregnated with 60 μl from each metabolite and placed on the TSA agar surface (36 °C, 24 h). The metabolites from the microbial mixtures showed statistical differences with respect to their respective monocultures. With the treatment (LP + WC) an inhibition diameter of 2.54 cm was obtained at 12 h of fermentation, this value was higher than those obtained in the monoculture LP (2.19 cm), and WC (2.44 cm), during the same period. In the mixture (LB + LP + WC) during the first 12 h of fermentation, the antimicrobial activity was higher (2.12-2.28 cm) than the antimicrobial activity of the monoculture LB (1.66-2.23 cm). The use of metabolites from the co-culture of <i>L brevis, L. plantarum</i> and <i>W. cibaria</i> under the evaluated conditions, potentiate the antimicrobial activity of <i>L. brevis</i> against <i>L. monocytogenes,</i> therefore, they are promising in bio-preservation.",Heliyon,2019,6819814,10.1016/j.heliyon.2019.e02448,1,Defined,Amino acid medium,Antilisterial compounds,"Lactobacillus plantarum, Weissella cibaria",,
30708187,Microbial co-culturing strategies for fructo-oligosaccharide production.,"Fructo-oligosaccharide (FOS) mixtures produced by fermentation contain large amounts of non-prebiotic sugars. Here we propose a mixed culture of Aureobasidium pullulans and Saccharomyces cerevisiae cells to produce FOS and consume the small saccharides simultaneously, thereby increasing FOS purity in the mixture. The use of immobilised A. pullulans in co-culture with encapsulated S. cerevisiae, inoculated after 10 h fermentation, enhanced FOS production in a 5 L bioreactor. Using this strategy, a maximal FOS concentration of 119 g L<sup>-1</sup>, and yield of 0.59 g<sub>FOS</sub> g<sub>sucrose</sub><sup>-1</sup>, were obtained after 20 h fermentation, increasing FOS productivity from about 4.9 to 5.9 g<sub>FOS</sub> L<sup>-1</sup> h<sup>-1</sup> compared to a control fermentation of immobilized A. pullulans in monoculture. In addition, the encapsulated S. cerevisiae cells were able to decrease the glucose in the medium to about 7.6% (w/w) after 63 h fermentation. This provided a final fermentation mixture with 2.0% (w/w) sucrose and a FOS purity of over 67.0% (w/w). Moreover, a concentration of up to 58.0 g L<sup>-1</sup> of ethanol was obtained through the enzymatic transformation of glucose. The resulting pre-purified FOS mixture could improve the separation and purification of FOS in downstream treatments, such as simulated moving bed chromatography.",New biotechnology,2019,None,10.1016/j.nbt.2019.01.009,1,Defined,Saccharides,Fructo-oligosaccharide,"Aureobasidium pullulans, Saccharomyces cerevisiae",,
16345787,Ethanol Production by Thermophilic Bacteria: Fermentation of Cellulosic Substrates by Cocultures of Clostridium thermocellum and Clostridium thermohydrosulfuricum,,Applied and Environmental Microbiology,1981,243920,10.1128/aem.41.6.1337-1343.1981,,Defined,Cellulose,Ethanol,"Clostridium thermocellum, Clostridium thermohydrosulfuricum",,Cellulose fermentation
,Hydrogen and butanol production from native wheat straw by synthetic microbial consortia integrated by species of Enterococcus and Clostridium,,Fuel,2015,,,,Defined,Lignocellulose,"Hydrogen, Butanol","Enterococcus sp, Clostridium beijerinckii, Clostridium cellulovorans",,"Cellulose fermentation, ABE fermentation"
,Design and characterization of synthetic fungal-bacterial consortia for direct production of isobutanol from cellulosic biomass,,PNAS,2013,,,,Defined,Lignocellulose,Butanol,"Trichoderma reesei, Escherichia coli",,
,Distributing a metabolic pathway among a microbial consortium enhances production of natural products,,Nature Biotechnology,2015,,,,Defined,Xylose,Pharmaceutically active compounds,"Escherichia coli, Saccharomyces cerevisiae",,
,"A synthetic, light-driven consortium of cyanobacteria and heterotrophic bacteria enables stable polyhydroxybutyrate production",,Metabolic Engineering,2017,,,,Defined,Light,PHB,"Synechococcus elongatus, Halomonas boliviensis",,
,Butanol Production from Crystalline Cellulose by Cocultured Clostridium thermocellum and Clostridium saccharoperbutylacetonicum N1-4,,Applied and Environmental Microbiology,2011,,,,Defined,Lignocellulose,Butanol,"Clostridium thermocellum, Clostridium saccharoperbutylacetonicum",,"Cellulose fermentation, Butanol production"
,Butanol production from alkali-pretreated rice straw by co-culture of Clostridium thermocellum and Clostridium saccharoperbutylacetonicum,,Bioresource Technology,2015,,,,Defined,Lignocellulose,Butanol,"Clostridium thermocellum, Clostridium saccharoperbutylacetonicum",,"Cellulose fermentation, Butanol production"
,De novo phenol bioproduction from glucose using biosensor-assisted microbial coculture engineering,,Biotechnology and Bioengineering,2019,,,,Defined,Glucose,Phenol,Escherichia coli,,
,Balancing the non-linear rosmarinic acid biosynthetic pathway by modular co-culture engineering,,Metabolic Engineering,2019,,,,Defined,"Glucose, Sucrose, Xylose",Rosmarinic acid,Escherichia coli,,
,Production of pyranoanthocyanins using Escherichia coli co-cultures,,Metabolic Engineering,2019,,,,Defined,Glucose,Pyranoanthocyanins,Escherichia coli,,
,A heterogeneous microbial consortium producing short-chain fatty acids from lignocellulose ,,Science,2020,,,,Defined,Lignocellulose,SCFA,"Trichoderma reesei, Clostridium tyrobutyricum, Veillonella criceti, Megasphaera elsdenii",,Butyric acid production
,Electricity Production from Cellulose in a Microbial Fuel Cell Using a Defined Binary Culture,,Environmental science & technology,2007,,,,Defined,Lignocellulose,Electricity,"Clostridium cellulolyticum, Geobacter sulfurreducens",,Cellulose fermentation
,Complete Biosynthesis of Anthocyanins Using E. coli Polycultures,,mBio,2017,,,,Defined,Glucose,Anthocyanins,Escherichia coli,,
,Convergent engineering of syntrophic Escherichia coli coculture for efficient production of glycosides,,Metabolic Engineering,2018,,,,Defined,"Xylose, Glucose",Glycosides,Escherichia coli,,
,Experimental and computational optimization of an Escherichia coli co-culture for the efficient production of flavonoids,,Metabolic Engineering,2016,,,,Defined,Glucose,Flavonoids,Escherichia coli,,
,Production of Tyrian purple indigoid dye from tryptophan in Escherichia coli,,Nature Chemical Biology,2021,,,,Defined,Tryptophan,Indigo,Escherichia coli,,
,Design of mutualistic microbial consortia for stable conversion of carbon monoxide to value-added chemicals,,Metabolic Engineering,2021,,,,Defined,CO,"3-hydroxypropionic acid, Itaconic acid","Eubacterium limosum, Escherichia coli",,
