,Unnamed: 0,PM_ID,Title,Abstract,Journal,Year,PMC_ID,DOI,Classification,GPT-3 verdict
10,304,17953552,The isolation and microbial community analysis of hydrogen producing bacteria from activated sludge.,To profile the fractions of bacteria in heat-treated activated sludge capable of producing hydrogen and subsequently to isolate those organisms and confirm their ability to produce hydrogen.,Journal of applied microbiology,2007,None,10.1111/j.1365-2672.2007.03370.x,1,"The article does not specifically mention a synthetic community or co-culture. However, it does mention heat-treated activated sludge, which could be considered a type of co-culture."
11,316,32946127,Consolidated bioprocessing performance of a two-species microbial consortium for butanol production from lignocellulosic biomass.,"Consolidated bioprocessing (CBP) by using microbial consortium was considered as a promising approach to achieve direct biofuel production from lignocellulose. In this study, the interaction mechanism of microbial consortium consisting of Thermoanaerobacterium thermosaccharolyticum M5 and Clostridium acetobutylicum NJ4 was analyzed, which could achieve efficient butanol production from xylan through CBP. Strain M5 possesses efficient xylan degradation capability, as 19.73 g/L of xylose was accumulated within 50 hr. The efficient xylose utilization capability of partner strain NJ4 could relieve the substrate inhibition to hydrolytic enzymes of xylanase and xylosidase secreted by strain M5. In addition, the earlier solventogenesis of strain NJ4 was observed due to the existence of butyrate generated by strain M5. The mutual interaction of these two strains finally gave 13.28 g/L of butanol from 70 g/L of xylan after process optimization, representing a relatively high butanol production from hemicellulose. Moreover, 7.61 g/L of butanol was generated from untreated corncob via CBP. This successfully constructed microbial consortium exhibits efficient cooperation performance on butanol production from lignocellulose, which could provide a platform for the emerging butanol production from lignocellulose.",Biotechnology and bioengineering,2020,None,10.1002/bit.27464,1,"This scientific article discusses the use of a two-species microbial consortium for butanol production from lignocellulosic biomass through consolidated bioprocessing (CBP). Therefore, it seems that the article is discussing the use of a synthetic community or co-culture for product production."
12,371,32090083,Statistical Experimental Design Optimization of Microbial Proteases Production under Co-Culture Conditions for Chitin Recovery from Speckled Shrimp <i>Metapenaeus monoceros</i> By-Product.,"This study was designed with the aim to produce microbial proteases in presence of speckled shrimp by-product. For this reason, three strains belonging to <i>Bacillus</i> genus, namely, <i>Aeribacillus pallidus</i> VP3, <i>Lysinibacillus fusiformis</i> C250R, and <i>Anoxybacillus kamchatkensis</i> M1V were studied under co-culture procedure. A Taguchi L27 experimental design was applied to optimize the co-culture parameters. The experimental design was built with 9 factors (by-product powder concentration, the pH of the medium, the temperature, the sucrose concentration, the agitation speed, the inoculum sizes of VP3, M1V, and C250R strains, and the culture volume) at three different levels. The obtained results showed that a total protease activity of 8,182 U/mL could be achieved after 24 h of incubation in presence of 20 g/L shrimp by-product and 10 g/L sucrose, at an initial pH of 7, a 40°C temperature and absorbance, at 600 nm, of inoculum sizes of 0.1, 0.3, and 0.1 for VP3, M1V, and C250R strains, respectively. The agitation was set at 200 rpm, and the final volume was 25 mL. Taguchi's design allowed the identification of temperature, the inoculum size for strain VP3, the inoculum size for strain M1V, and the final culture volume as the most influencing variables. A Box-Behnken design with 27 experiments was carried out for the optimization of these four selected factors. Following such design, the highest protease production reached was 11,300 U/mL. This yield was obtained in a final culture volume of 15 mL containing 20 g/L shrimp by-product powder and 10 g/L sucrose and inoculated with VP3, C250R, and M1V strains at 0.05, 0.1, and 0.2, respectively. The flasks were incubated at 45°C for 24 h with shaking at 200 rpm. The efficiency of chitin extraction by co-cultivation was investigated under the latter conditions. The chitin yield from shells by-product was 16.7%. Fourier-Transform Infrared (FTIR) analysis of the obtained chitin displayed characteristic profiles similar to that of the commercial <i>α</i>-chitin.",BioMed research international,2020,6998744,10.1155/2020/3707804,1,This study concerns product production using co-culture.
13,392,36198351,Biodiesel Co-Product enhances microbial stability and beneficial microbial communities along a gradient of soil water content.,"Biodiesel Co-Product (BCP) is a complex carbonaceous liquid formed during the commercial production of biodiesel. Previously, BCP was shown to decrease nitrogen (N) leaching from the soil, but the effects of BCP on the diversity, composition, and structure of soil microbial communities are not well understood. Here, we applied 1.5 mg BCP-C to acidic soil (pH 3.5) at a range of different water contents (from 40 % to 100 % water holding capacity) to investigate the interactions between BCP and increasing water holding capacity on the diversity, composition, and interactions of soil microbial communities. Distance-based multivariate linear model (DistLM) and non-metric multidimensional scaling (NMDS) analyses showed that BCP caused larger changes in fungal than bacterial communities, while soil water content had a greater effect on bacterial communities relative to fungal communities. Co-occurrence network analyses indicated that BCP amendment produced more robust and complex bacterial networks and more stable fungal ones. BCP significantly increased the OTU numbers of beneficial microbes (e.g., Trichoderma spp.) in all water contents, with fewer OTU numbers of putative pathogenetic species (Fusarium spp. and Aspergillus spp.). These findings indicate that BCP addition may be conducive to the health and stability of soil ecosystems.",The Science of the total environment,2022,None,10.1016/j.scitotenv.2022.159204,1,No
14,420,35671911,Enhanced sulfonamides removal via microalgae-bacteria consortium via co-substrate supplementation.,"Both co-cultivation and co-substrate addition strategies have exhibited massive potential in microalgae-based antibiotic bioremediation. In this study, glucose and sodium acetate were employed as co-substrate in the cultivation of microalgae-bacteria consortium for enhanced sulfadiazine (SDZ) and sulfamethoxazole (SMX) removal. Glucose demonstrated a two-fold increase in biomass production with a maximum specific growth rate of 0.63 ± 0.01 d<sup>-1</sup> compared with sodium acetate. The supplementation of co-substrate enhanced the degradation of SDZ significantly up to 703 ± 18% for sodium acetate and 290 ± 22% for glucose, but had almost no effect on SMX. The activities of antioxidant enzymes, including peroxidase, superoxide dismutase and catalase decreased with co-substrate supplementation. Chlorophyll a was associated with protection against sulfonamides and chlorophyll b might contribute to SDZ degradation. The addition of co-substrates influenced bacterial community structure greatly. Glucose enhanced the relative abundance of Proteobacteria, while sodium acetate improved the relative abundance of Bacteroidetes significantly.",Bioresource technology,2022,None,10.1016/j.biortech.2022.127431,1,The article does not concern product production using a synthetic community or co-culture.
15,457,27042211,Production of medium-chain fatty acids and higher alcohols by a synthetic co-culture grown on carbon monoxide or syngas.,"Synthesis gas, a mixture of CO, H2, and CO2, is a promising renewable feedstock for bio-based production of organic chemicals. Production of medium-chain fatty acids can be performed via chain elongation, utilizing acetate and ethanol as main substrates. Acetate and ethanol are main products of syngas fermentation by acetogens. Therefore, syngas can be indirectly used as a substrate for the chain elongation process.",Biotechnology for biofuels,2016,4818930,10.1186/s13068-016-0495-0,1,The article concerns production of medium-chain fatty acids and higher alcohols using a synthetic co-culture.
16,474,33990298,Propionate Production from Carbon Monoxide by Synthetic Cocultures of Acetobacterium wieringae and Propionigenic Bacteria.,"Gas fermentation is a promising way to convert CO-rich gases to chemicals. We studied the use of synthetic cocultures composed of carboxydotrophic and propionigenic bacteria to convert CO to propionate. So far, isolated carboxydotrophs cannot directly ferment CO to propionate, and therefore, this cocultivation approach was investigated. Four distinct synthetic cocultures were constructed, consisting of Acetobacterium wieringae (DSM 1911<sup>T</sup>) and Pelobacter propionicus (DSM 2379<sup>T</sup>), <i>Ac. wieringae</i> (DSM 1911<sup>T</sup>) and Anaerotignum neopropionicum (DSM 3847<sup>T</sup>), <i>Ac. wieringae</i> strain JM and <i>P. propionicus</i> (DSM 2379<sup>T</sup>), and <i>Ac. wieringae</i> strain JM and <i>An. neopropionicum</i> (DSM 3847<sup>T</sup>). Propionate was produced by all the cocultures, with the highest titer (∼24 mM) being measured in the coculture composed of <i>Ac. wieringae</i> strain JM and <i>An. neopropionicum</i>, which also produced isovalerate (∼4 mM), butyrate (∼1 mM), and isobutyrate (0.3 mM). This coculture was further studied using proteogenomics. As expected, enzymes involved in the Wood-Ljungdahl pathway in <i>Ac. wieringae</i> strain JM, which are responsible for the conversion of CO to ethanol and acetate, were detected; the proteome of <i>An. neopropionicum</i> confirmed the conversion of ethanol to propionate via the acrylate pathway. In addition, proteins related to amino acid metabolism and stress response were highly abundant during cocultivation, which raises the hypothesis that amino acids are exchanged by the two microorganisms, accompanied by isovalerate and isobutyrate production. This highlights the importance of explicitly looking at fortuitous microbial interactions during cocultivation to fully understand coculture behavior. <b>IMPORTANCE</b> Syngas fermentation has great potential for the sustainable production of chemicals from wastes (via prior gasification) and flue gases containing CO/CO<sub>2</sub>. Research efforts need to be directed toward expanding the product portfolio of gas fermentation, which is currently limited to mainly acetate and ethanol. This study provides the basis for a microbial process to produce propionate from CO using synthetic cocultures composed of acetogenic and propionigenic bacteria and elucidates the metabolic pathways involved. Furthermore, based on proteomics results, we hypothesize that the two bacterial species engage in an interaction that results in amino acid exchange, which subsequently promotes isovalerate and isobutyrate production. These findings provide a new understanding of gas fermentation and a coculturing strategy for expanding the product spectrum of microbial conversion of CO/CO<sub>2</sub>.",Applied and environmental microbiology,2021,8231444,10.1128/AEM.02839-20,1,The scientific article concerns product production using a synthetic community or co-culture.
17,518,28429329,Hydrogen production and microbial kinetics of Clostridium termitidis in mono-culture and co-culture with Clostridium beijerinckii on cellulose.,"Cellulose utilization by hydrogen producers remains an issue due to the low hydrogen yields reported and the pretreatment of cellulose prior to fermentation requires complex and expensive steps. Clostridium termitidis is able to breakdown cellulose into glucose and produce hydrogen. On the other hand, Clostridium beijerinckii is not able to degrade cellulose but is adept at hydrogen production from glucose; therefore, it was chosen to potentially enhance hydrogen production when co-cultured with C. termitidis on cellulose. In this study, batch fermentation tests were conducted to investigate the direct hydrogen production enhancement of mesophilic cellulolytic bacteria C. termitidis co-cultured with mesophilic hydrogen producer C. beijerinckii on cellulose at 2 g l<sup>-1</sup> compared to C. termitidis mono-culture. Microbial kinetics parameters were determined by modeling in MATLAB. The achieved highest hydrogen yield was 1.92 mol hydrogen mol<sup>-1</sup> hexose equivalent<sub>added</sub> in the co-culture compared to 1.45 mol hydrogen mol<sup>-1</sup> hexose equivalent<sub>added</sub> in the mono-culture. The maximum hydrogen production rate of 26 ml d<sup>-1</sup> was achieved in the co-culture. Co-culture exhibited an overall 32 % enhancement of hydrogen yield based on hexose equivalent added and 15 % more substrate utilization. The main metabolites were acetate, ethanol, lactate, and formate in the mono-culture, with also butyrate in the co-culture. Additionally, the hydrogen yield of C. beijerinckii only in glucose was 2.54 mol hydrogen mol<sup>-1</sup> hexose equivalent. This study has proved the viability of co-culture of C. termitidis with C. beijerinckii for hydrogen production directly from a complex substrate like cellulose under mesophilic conditions.",AMB Express,2017,5399015,10.1186/s13568-016-0256-2,1,"The scientific article does not specifically mention whether the product production is using a synthetic community or co-culture. However, the study does investigate the direct hydrogen production enhancement of mesophilic cellulolytic bacteria C. termitidis co-cultured with mesophilic hydrogen producer C. beijerinckii on cellulose at 2 g l-1 compared to C. termitidis mono-culture. Therefore, it is possible that the product production uses a synthetic community or co-culture."
18,541,20409701,Optimization of electron donors to improve CO2 fixation efficiency by a non-photosynthetic microbial community under aerobic condition using statistical experimental design.,"To improve the CO(2) fixation efficiency of non-photosynthetic microbial community (NPMC) isolated from sea water under aerobic conditions without hydrogen, the concentration of inorganic compounds as electron donors and their ratios were optimized using response surface methodology design (RSMD). These results indicated that Na(2)S, followed by Na(2)S(2)O(3) and NaNO(2) enhanced the CO(2) fixation by NPMC and the efficiency was increased about 100%, 200% and 200%, respectively. Some interaction between NaNO(2) and Na(2)S(2)O(3), as well as between Na(2)S(2)O(3) and Na(2)S was observed. Central composite RSMD experimentation predicted that the optimal concentration of these inorganic compounds and their ratios was 0.457% NaNO(2), 0.50% Na(2)S(2)O(3) and 1.25% Na(2)S. Under these conditions, the fixed CO(2) was 105.76 mg/L, which obviously exceeded the amount before optimization, as well as that obtained using hydrogen as the electron donor. This indicates that the NPMC using the established electron donors system can effectively fix CO(2) without light and hydrogen gas under aerobic condition.",Bioresource technology,2010,None,10.1016/j.biortech.2010.03.138,1,"The article does not specifically mention product production. However, it does discuss how to optimize CO2 fixation by a non-photosynthetic microbial community, which could potentially be used for product production."
19,552,17910366,Hydrogen production by anaerobic microbial communities exposed to repeated heat treatments.,"Biological hydrogen production by anaerobic mixed communities was studied in laboratory-scale bioreactors using sucrose as the substrate. A bioreactor in which a fraction of the return sludge was exposed to repeated heat treatments performed better than a control bioreactor without repeated heat treatment of return sludge and produced a yield of 2.15 moles of hydrogen per mole of sucrose, with 50% hydrogen in the biogas. Terminal restriction fragment length polymorphism analysis showed that two different Clostridium groups (comprised of one or more species) were dominant during hydrogen production. The relative abundance of two other non-Clostridium groups increased during periods of decreased hydrogen production. The first group consisted of Bifidobacterium thermophilum, and the second group included one or more of Bacillus, Melissococcus, Spirochaeta, and Spiroplasma spp.",Water environment research : a research publication of the Water Environment Federation,2007,None,10.2175/106143007x175762,1,"The article does not explicitly state whether the community used is synthetic or not, but based on the fact that the community is composed of different species, it is likely that it is not synthetic."
20,589,28390276,Photosynthetic hydrogen production by alginate immobilized bacterial consortium.,"Photosynthetic hydrogen production from organic wastewaters using immobilized mixed culture with photosynthetic bacteria (PSB) was studied. A PSB consortium was immobilized by alginate matrix to form granules. The so-yielded granules exhibited minimal diffusional resistances to substrates and to illumination penetration but still produced more hydrogen from synthetic wastewater than the free cells at identical experimental conditions. Optimal granule size, cell loadings, and cell ages for granules and the minimum substrate concentration and maximum illumination intensity requited to maximize hydrogen production were studied. The applied alginate matrix can provide shield to embedded cells from external challenges, likely the produced proton gradients from the surroundings.",Bioresource technology,2017,None,10.1016/j.biortech.2017.03.171,1,The article concerns product production using an immobilized mixed culture with photosynthetic bacteria.
21,599,31075124,"Bacterial community dynamics in lait caillé, a traditional product of spontaneous fermentation from Senegal.","Spontaneously fermented food products contain a complex, natural microbial community with potential probiotic activity. The addition of a health-promoting, probiotic bacterium to these products ensures the delivery of that probiotic activity to consumers. Here, we assess the microbial community of a traditional Senegalese milk product produced by spontaneous fermentation, called lait caillé. We produced the lait caillé in a traditional way and added a probiotic starter containing Lactobacillus rhamnosus yoba 2012 to the traditional process. We found various species that are known for their ability to ferment milk, including species from the genera Lactobacillus, Acetobacter, Lactococcus, and Streptococcus. Our results show that the addition of L. rhamnosus to the inoculum, can result in detectable levels of this strain in the final product, ranging between 0.2 and 1 percent of the total bacterial population. Subsequent rounds of fermentation using passive back-slopping without the addition of new L. rhamnosus led to a loss of this strain from the community of fermenting bacteria. Our results suggest that the addition of probiotic strains at every fermentation cycle can enrich the existing complex communities of traditionally fermented lait caillé while traditional bacterial strains remain dominant in the bacterial communities.",PloS one,2019,6510411,10.1371/journal.pone.0215658,1,This article is about adding a probiotic starter to a traditional process in order to improve the health-promoting properties of the final product. It does not mention anything about using a synthetic community or co-culture.
22,690,30060435,Kinetics and microbial community analysis for hydrogen production using raw grass inoculated with different pretreated mixed culture.,"In this study, five pretreatment methods (heat shock, acid, base, aeration and gamma radiation) were applied for enriching hydrogen producers from anaerobically digested sludge, aiming to compare their hydrogen fermentation performance using raw ryegrass as substrate. Results showed that various pretreatment methods caused great variations on grass hydrogen fermentation performance. Acid pretreatment was most efficient compared with other tested pretreatment methods, with relevant hydrogen yield of 64.4mL/g dry grass and organics removal of 31.4%. Kinetics results showed that the first-order kinetic model fitted hydrogen evolution better than the modified Gompertz model. Microbiological analysis showed that various pretreatment methods caused great variations on microbial activity and microbial community composition. Clostridium and Enterococcus were two dominant genera, while relative abundances of these two genera varied greatly for different pretreated samples. Difference in microbial activity and microbial community distribution induced by the pretreatment methods might directly cause different ryegrass fermentation performance.",Bioresource technology,2018,None,10.1016/j.biortech.2017.09.041,1,The scientific article does not mention anything about a synthetic community or co-culture. It is only concerned with the production of hydrogen using raw grass that has been pretreated with different methods.
23,746,30420331,Enriched microbial consortia for dark fermentation of sugarcane vinasse towards value-added short-chain organic acids and alcohol production.,"The role of sugarcane vinasse as a nutrient source and the impacts of different inoculum pretreatment methods (acid-thermal and thermal treatment) were assessed in acidogenic systems aiming to produce value-added short-chain organic acids (SCOA) and alcohols. In-depth microbiome characterization was also conducted by high-throughput sequencing of the 16S rRNA gene using the Miseq Illumina platform. SCOA production was 47.3 % higher in vinasse-fed reactors, with isobutyric (up to 10.3 g L<sup>-1</sup>) and butyric (up to 10.6 g L<sup>-1</sup>) acids as the primary metabolites most likely resulting from lactate conversion. Ethanol comprised the main product from solventogenic pathways in all conditions, with values ranging between 2.7 and 5.2 g L<sup>-1</sup>, whereas no butanol was detected. Microbial analyses revealed high relative abundance values for the Clostridium, Lactobacillus, Bacillus and Ruminococcus genera, with the predominance of the Clostridium genus (17%) in acid-thermal treatment reactors and the Lactobacillus genus (37%) in thermal treatment reactors. Overall, vinasse proved to be a suitable substrate for value-added SCOA production, which characterizes a potential management approach to this wastewater stream. In this sense, the biochemical production of butyrate from vinasse could diversify the product portfolio of sugarcane biorefineries, also minimizing bioenergy losses by converting residual carbon fractions.",Journal of bioscience and bioengineering,2019,None,10.1016/j.jbiosc.2018.10.008,1,"This scientific article does not specifically mention the use of a synthetic community or co-culture. However, it does mention the use of different inoculum pretreatment methods (acid-thermal and thermal treatment) in order to produce value-added short-chain organic acids (SCOA) and alcohols. Therefore, it is possible that a synthetic community or co-culture is used in this process."
24,770,15558274,H2-producing bacterial communities from a heat-treated soil inoculum.,"Hydrogen gas (approximately 60% H(2)) was produced in a continuous flow bioreactor inoculated with heat-treated soil, and fed synthetic wastewater containing glucose (9.5 g l(-1)). The pH in the bioreactor was maintained at 5.5 to inhibit consumption of H(2) by methanogens. The objective of this study was to characterize bacterial communities in the reactor operated under two different hydraulic retention times (HRTs of 30-h and 10-h) and temperatures (30 degrees C and 37 degrees C). At 30-h HRT, the H(2) production rate was 80 ml h(-1) and yield was 0.91 mol H(2)/mol glucose. At 10-h HRT, the H(2) production rate was more than 5 times higher at 436 ml h(-1), and yield was 1.61 mol H(2)/mol glucose. Samples were removed from the reactor under steady-state conditions for PCR-based detection of bacterial populations by ribosomal intergenic spacer analysis (RISA). Populations detected at 30-h HRT were more diverse than at 10-h HRT and included representatives of Bacillaceae, Clostridiaceae, and Enterobacteriaceae. At 10-h HRT, only Clostridiaceae were detected. When the temperature of the 10-h HRT reactor was increased from 30 degrees C to 37 degrees C, the steady-state H(2) production rate increased slightly to 463 ml h(-1) and yield was 1.8 mol H(2)/mol glucose. Compared to 30 degrees C, RISA fingerprints at 37 degrees C from the 10-h HRT bioreactor exhibited a clear shift from populations related to Clostridium acidisoli (subcluster Ic) to populations related to Clostridium acetobutylicum (subcluster Ib).",Applied microbiology and biotechnology,2004,None,10.1007/s00253-004-1666-7,1,The article does not mention the use of a synthetic community or co-culture. It only mentions the use of heat-treated soil as an inoculum.
